iter	Logloss
0	0.6863806692
1	0.6806517197
2	0.6740814263
3	0.6689344106
4	0.6627445312
5	0.6563839895
6	0.6519780208
7	0.6474478886
8	0.6423615538
9	0.6378991366
10	0.6332547323
11	0.6284465648
12	0.6232417571
13	0.618656166
14	0.6140335022
15	0.6102616536
16	0.6055778586
17	0.6017887949
18	0.5968239259
19	0.5925965871
20	0.587808534
21	0.5834798433
22	0.5798926269
23	0.5758593536
24	0.5719103407
25	0.5682089075
26	0.5651230414
27	0.5624472964
28	0.55900088
29	0.5557381109
30	0.5519831826
31	0.5484188767
32	0.5450275177
33	0.5420450923
34	0.5391456063
35	0.5359829545
36	0.5328914752
37	0.529383599
38	0.5264834962
39	0.5234511865
40	0.5208738882
41	0.518401146
42	0.5154908513
43	0.5131479153
44	0.5107336916
45	0.5080219524
46	0.5053867581
47	0.5028001963
48	0.5007735073
49	0.4984320299
50	0.4957200721
51	0.4935397493
52	0.4912397862
53	0.4890943181
54	0.4863768895
55	0.4839351549
56	0.4818119936
57	0.4806757643
58	0.4786550262
59	0.4770316175
60	0.4749591549
61	0.4729291142
62	0.4706516338
63	0.4692114803
64	0.4672630918
65	0.465151569
66	0.4637121994
67	0.4619576213
68	0.4599016883
69	0.4586834981
70	0.4571514127
71	0.4555444276
72	0.4538724967
73	0.4526516394
74	0.4512532512
75	0.4497514464
76	0.4487904335
77	0.4474091896
78	0.4460739719
79	0.4449517453
80	0.4439702011
81	0.4426343811
82	0.4410413365
83	0.4397996686
84	0.439255497
85	0.4384167464
86	0.4372600901
87	0.4358435758
88	0.4348579978
89	0.4339608578
90	0.4327436214
91	0.4314244357
92	0.4303496193
93	0.4291565374
94	0.4280770431
95	0.426953113
96	0.4259033582
97	0.4250311635
98	0.4237992646
99	0.4229498832
100	0.4219936162
101	0.4213888645
102	0.420247489
103	0.4193945832
104	0.4185503159
105	0.4174850294
106	0.4162625427
107	0.4157258207
108	0.4147349363
109	0.4137949418
110	0.4126400487
111	0.4116784259
112	0.4109464519
113	0.4103087638
114	0.4093491111
115	0.409033258
116	0.4084230111
117	0.4078389326
118	0.4070129268
119	0.4059657685
120	0.4049513385
121	0.4042954752
122	0.4040159542
123	0.4030023362
124	0.4025506242
125	0.401773621
126	0.4010628038
127	0.4003575855
128	0.3994666153
129	0.3989682756
130	0.3984546767
131	0.3976276724
132	0.3967736344
133	0.3960980253
134	0.3951786137
135	0.3944249849
136	0.3940850684
137	0.3933885102
138	0.3928239928
139	0.3922681905
140	0.3916441672
141	0.3910387038
142	0.3904773667
143	0.3898210348
144	0.3891327806
145	0.3885040081
146	0.3883257674
147	0.3876961947
148	0.3871349968
149	0.3867045446
150	0.3862184798
151	0.3854500125
152	0.3849700301
153	0.3845794987
154	0.3842911731
155	0.3837235999
156	0.3833896557
157	0.3829993929
158	0.3824712802
159	0.3819872484
160	0.3817481927
161	0.3813960251
162	0.3809596508
163	0.3804667126
164	0.3800182192
165	0.3797399356
