iter	Passed	Remaining
0	1	1757
1	3	1612
2	4	1600
3	6	1597
4	7	1584
5	9	1574
6	10	1544
7	12	1540
8	13	1536
9	17	1705
10	19	1722
11	20	1722
12	22	1731
13	24	1734
14	26	1727
15	27	1709
16	29	1718
17	31	1716
18	33	1714
19	35	1716
20	36	1712
21	38	1705
22	40	1704
23	41	1697
24	43	1690
25	44	1683
26	46	1679
27	47	1662
28	49	1659
29	51	1653
30	52	1651
31	54	1649
32	56	1651
33	57	1644
34	59	1646
35	61	1645
36	63	1641
37	64	1638
38	66	1638
39	68	1635
40	69	1633
41	71	1630
42	73	1625
43	74	1625
44	76	1624
45	78	1625
46	80	1623
47	81	1623
48	83	1622
49	85	1623
50	87	1620
51	88	1618
52	90	1617
53	92	1618
54	94	1615
55	95	1611
56	97	1607
57	98	1602
58	100	1599
59	102	1598
60	103	1596
61	105	1595
62	107	1592
63	108	1591
64	110	1590
65	112	1587
66	113	1582
67	115	1580
68	116	1578
69	118	1575
70	120	1572
71	121	1570
72	123	1567
73	125	1564
74	126	1562
75	128	1559
76	129	1557
77	131	1554
78	133	1552
79	134	1550
80	136	1546
81	137	1544
82	139	1542
83	141	1540
84	142	1533
85	144	1530
86	145	1529
87	147	1527
88	149	1526
89	150	1525
90	152	1522
91	154	1520
92	155	1519
93	157	1518
94	159	1516
95	160	1513
96	162	1511
97	163	1509
98	165	1507
99	167	1505
100	168	1502
101	170	1497
102	171	1495
103	173	1493
104	174	1490
105	176	1488
106	178	1486
107	179	1481
108	180	1478
109	182	1476
110	184	1474
111	185	1472
112	187	1470
113	188	1466
114	190	1464
115	191	1459
116	193	1457
117	195	1461
118	197	1459
119	198	1457
120	200	1455
121	201	1453
122	203	1448
123	204	1447
124	206	1445
125	208	1444
126	210	1443
127	211	1441
128	213	1439
129	214	1437
130	216	1435
131	217	1432
132	219	1430
133	221	1428
134	222	1426
135	224	1424
136	225	1422
137	227	1420
138	228	1418
139	230	1415
140	232	1414
141	233	1412
142	235	1411
